UserId,Department/Region,Course/programme/project's name??,Related CPO or GLO under P&B 2024-2025,Web link??,Short description?,In person or online or both,With certification (Yes or No),New or long-standing,Funding source (Options: regular budget or extrabudgetary),Focus (Options: Youth only or Youth is one of the target groups),For public use or ILO staff only,year
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,"South Asia Leadership in Entrepreneurship (SALE), Sri Lanka components",LKA 107,https://island.lk/ilo-ceylon-chamber-and-ministry-of-education-come-together-to-foster-entrepreneurial-mindset-among-youth/,"ILO collaborated with the Ministry of Education to integrate entrepreneurship education into the national curriculum. They established E-Clubs in schools and organized events such as School Entrepreneurship Days, fostering an entrepreneurial mindset and providing resources for youth to develop business ideas.",in-person,No,New,extrabudgetary,Youth only,Public use,2024
USR-202506-0025,Region: Asia and the Pacific,"South Asia Leadership in Entrepreneurship (SALE), Sri Lanka components",LKA 107,https://www.chamber.lk/ceylon-chamber-launches-spark-2024-youth-entrepreneurship-competition/,"The Ceylon Chamber of Commerce capacity building focused entrepreneurship training and mentorship for youth. They organized competitions (e.g., SPARK competition) and School Entrepreneurship Days, helping young people understand business principles and gain practical experience in launching ventures.",in-person,No,New,extrabudgetary,Youth only,Public use,2024
USR-202506-0025,Region: Asia and the Pacific,"South Asia Leadership in Entrepreneurship (SALE), Sri Lanka components",LKA 107,https://www.ilo.org/sites/default/files/2025-01/Project%20Brief-Youth%20Entrepreneurship-SALE-SriLanka-2024.pdf,"With Central Bank of Sri Lanka, engaged in policy dialogues focused on the role of youth in entrepreneurship and economic growth. Through this partnership, the ILO helped build policy frameworks that support youth entrepreneurship, enhancing the entrepreneurial ecosystem in Sri Lanka.",in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2024
USR-202506-0025,Region: Asia and the Pacific,Promoting the Advancement of Vulnerbale Persons and Enterprises (PAVE),,https://www.ilo.org/projects-and-partnerships/projects/promoting-advancement-vulnerable-persons-and-enterprises-pave-project,Strengthened capacity of Small Enterprise Development Division (SED) and Department of Industries (DOI) through TOTs on two contextualized entrepreneurship modules "How to Create a Business" and "How to Dgitalize a Business". Rolled out to youth and others  in Northen Province.,in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2024
USR-202506-0025,Region: Asia and the Pacific,UPLIFT Project ,LKA102 (Output 3.2),https://www.ilo.org/resource/article/sri-lanka%E2%80%99s-next-generation-women-seafarers-are-ready-set-sail,"The initiative is helping vulnerable and marginalized young people, including women, to access decent work opportunities through skills enhancement. It is creating a pathway for inclusion in a sector that has traditionally been dominated by men.",in-person,Yes,New,extrabudgetary,Youth only,Public use,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,"The Gender and Entrepreneurship
Together (GET Ahead) training manual","BGD102 - Improved national capacity to develop sustainable enterprises for inclusive economic growth, decent jobs and just transition.",,"The Gender and Entrepreneurship
Together (GET Ahead) training manual
was reviewed, contextualized, and
translated into Bangla to promote
gender-inclusive business practices. A
ToT on GET Ahead successfully then
equipped 26 individuals to deliver the
training, which subsequently
benefitted 255 entrepreneurs.",in-person,Yes,New,extrabudgetary,Youth are one of the target groups,Public use,2024
USR-202506-0027,Region: Asia and the Pacific,Start and Improve Your Business training,"BGD102 - Improved national capacity to develop sustainable enterprises for inclusive economic growth, decent jobs and just transition.",,"1087 entrepreneurs (existing businesses and individual, including 235 women) trained on SIYB (430), tourism service and etiquettes, branding and promotion of tourism marketplace (50) in Cox¨¢ Bazar. Additionally, the Delivery of Start and Improve Your Business (SIYB) training
to 95 entrepreneurs by 18 ToT trained facilitators, focusing on business startup and growth extended nationally.",in-person,Yes,Long-standing,extrabudgetary,Youth are one of the target groups,Public use,2024
USR-202506-0027,Region: Asia and the Pacific,Financial Management and E Commerce Training,"BGD102 - Improved national capacity to develop sustainable enterprises for inclusive economic growth, decent jobs and just transition.",,"Financial management and e-commerce training delivered to around 50 youth entrepreneurs, with a focus on product costing, financial planning, and effective financial management.",in-person,No,Long-standing,extrabudgetary,Youth are one of the target groups,Public use,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0028,Region: Asia and the Pacific,UBRAF (GLO/24/02/UNA),IND 104,,"Under accelerating progress on HIV and AIDS and ending inequalities in the world of work, skills of target group has been enhanced by imparting placement-linked and market-oriented skill training with suitable wage/ self-employment opportunities. This was done in Surat city, where more than 15000 People are living with HIV (PLHIVs) and are taking medicine from Govt. ART Centres. Out of them more than 30% people are coming from age group 20-34 year. The goal of ¡°Skill Development & Livelihood¡± portfolio has been to empower PLHIV youth, Women and Key Population so that they are able to live quality of life.",in-person,Yes,Long-standing,Extrabudgetary,Youth are one of the target groups,Public use,2024
USR-202506-0028,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0028,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,Capacity building,IDN 127 ,,employment services,in-person,yes,New,Regular Budget,Youth are one of the target groups,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,Strengthening of Employment Service Centers in Nepal (SESC) Project,NPL 126,,"Capacity development of relevant government officials and ESC staff to deliver their services for jobseekers, primarily youth ",in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2024
USR-202506-0030,Region: Asia and the Pacific,"From Protocol to Practice: A Bridge to Global Action on Forced Labour 
(The Bridge Project-Phase II)     ",NPL 828,,CBOs representative capacity building on institutional development and advocacy,in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2024
USR-202506-0030,Region: Asia and the Pacific,"From Protocol to Practice: A Bridge to Global Action on Forced Labour 
(The Bridge Project-Phase II)     ",NPL 828,,Organizational capacity of right holder's organization build to make strong organization,in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2024
